campus_id,campus,legal_entity_id,legal_entity,province,province_en,city,city_en,lng,lat,beds
R001908,云南省精神病医院,LE000071,云南省精神病医院,云南省,Yunnan,昆明市,Kunming,102.7484409,25.0790805,1000
R001892,昆明市第三人民医院,LE000082,昆明市第三人民医院,云南省,Yunnan,昆明市,Kunming,102.7276983,25.02483971,647
R001289,通辽市精神卫生中心,LE000138,通辽市精神卫生中心,内蒙古自治区,Inner Mongolia,通辽市,Tongliao,122.320949,43.64387383,630
R000095,北京协和医院,LE000169,北京协和医院,北京市,Beijing,北京市,Beijing,116.4097571,39.9271952,1796
R000121,首都医科大学附属北京友谊医院(通州院区),LE000203,首都医科大学附属北京友谊医院,北京市,Beijing,北京市,Beijing,116.6771671,39.93316625,1050
R000107,首都医科大学附属北京安定医院,LE000209,首都医科大学附属北京安定医院,北京市,Beijing,北京市,Beijing,116.3712298,39.95147128,800
R000109,首都医科大学附属北京朝阳医院东大桥院区,LE000211,首都医科大学附属北京朝阳医院,北京市,Beijing,北京市,Beijing,116.4474785,39.92440565,1067
R000973,四平市中心人民医院,LE000223,四平市中心人民医院,吉林省,Jilin,四平市,Siping,124.3529617,43.17482874,1501
R000985,吉林大学中日联谊医院,LE000232,吉林大学中日联谊医院,吉林省,Jilin,长春市,Changchun,125.3705508,43.86105556,2950
R000987,吉林大学中日联谊医院(南湖院区),LE000232,吉林大学中日联谊医院,吉林省,Jilin,长春市,Changchun,125.2980556,43.8389055,600
R000978,通化市中心医院,LE000230,通化市中心医院,吉林省,Jilin,通化市,Tonghua,125.9522781,41.73443772,1386
R000989,吉林省人民医院总院区,LE000240,吉林省人民医院,吉林省,Jilin,长春市,Changchun,125.2942584,43.86625657,2098
R001761,南充市中医院,LE000258,南充市中医医院,四川省,Sichuan,南充市,Nanchong,106.0934054,30.81101387,720
R002107,宜宾市第三人民医院,LE001889,宜宾市第三人民医院,四川省,Sichuan,宜宾市,Yibin,104.623142,28.76668253,810
P2C000294,巴中市中心医院南坝院区,LE000267,巴中市中心医院(巴中市人民医院),四川省,Sichuan,巴中市,Bazhong,106.76097,31.83445,1044
R001661,成都市双流区第一人民医院,LE000307,成都市双流区第一人民医院,四川省,Sichuan,成都市,Chengdu,103.9225925,30.59221293,1100
R001654,成都市第五人民医院,LE000315,成都市第五人民医院,四川省,Sichuan,成都市,Chengdu,103.8289053,30.69827023,2188
R002123,达州市达川区人民医院,LE001905,达州市达川区人民医院,四川省,Sichuan,达州市,Dazhou,107.5118111,31.20730156,1500
R001819,天津市中西医结合医院,LE000399,天津市中西医结合医院,天津市,Tianjin,天津市,Tianjin,117.1638353,39.12397278,1233
R001806,天津市儿童医院(马场院区),LE000401,天津市儿童医院,天津市,Tianjin,天津市,Tianjin,117.1937833,39.09907533,521
R000012,池州市人民医院,LE000455,池州市人民医院,安徽省,Anhui,池州市,Chizhou,117.4828975,30.66705552,1400
R000063,皖南医学院第二附属医院,LE000465,皖南医学院第二附属医院,安徽省,Anhui,芜湖市,Wuhu,118.3895742,31.32519585,1710
R000065,芜湖市第二人民医院,LE000467,芜湖市第二人民医院,安徽省,Anhui,芜湖市,Wuhu,118.3734027,31.32986678,2099
R000066,芜湖市第四人民医院,LE000468,芜湖市第四人民医院,安徽省,Anhui,芜湖市,Wuhu,118.3781239,31.29995416,1760
R001328,东营市人民医院,LE000488,东营市人民医院,山东省,Shandong,东营市,Dongying,118.6693444,37.43263316,1719
C45C0028,威海市立医院（和平路院区）,C48LE0028,威海市立医院,山东省,Shandong,威海市,Weihai,122.1089441,37.50119676,2400
R001418,荣成市中医院,LE000499,荣成市中医院,山东省,Shandong,威海市,Weihai,122.4754472,37.15630966,750
R001411,山东第一医科大学第二附属医院,LE000515,山东第一医科大学第二附属医院,山东省,Shandong,泰安市,Tai'an,117.0715982,36.18238412,2062
R001416,新泰市中医院,LE000516,新泰市中医院,山东省,Shandong,泰安市,Tai'an,117.7728353,35.90239986,1080
R001413,泰安市中心医院,LE000518,泰安市中心医院,山东省,Shandong,泰安市,Tai'an,117.1066451,36.19447256,1866
R001457,淄博市第一医院,LE000566,淄博市第一医院,山东省,Shandong,淄博市,Zibo,117.8599206,36.4924039,1197
R001438,烟台市莱阳中心医院,LE000587,烟台市莱阳中心医院,山东省,Shandong,烟台市,Yantai,120.6980722,36.97198693,1110
P2C000230,青岛市胶州中心医院主院区,P2L000028,青岛市胶州中心医院,山东省,Shandong,青岛市,Qingdao,120.0052818,36.28020125,952
R001481,山西省儿童医院,LE000638,山西省儿童医院,山西省,Shanxi,太原市,Taiyuan,112.5659818,37.88024393,800
R001510,长治市第二人民医院,LE000662,长治市第二人民医院,山西省,Shanxi,长治市,Changzhi,113.0924044,36.17236797,1000
R000379,云浮市人民医院,LE000678,云浮市人民医院,广东省,Guangdong,云浮市,Yunfu,112.068383,22.9540365,1200
R000284,广州医科大学附属中医医院,LE000723,广州医科大学附属中医医院,广东省,Guangdong,广州市,Guangzhou,113.2386412,23.11199167,1200
R000282,广州医科大学附属第一医院(大坦沙院区),LE000724,广州医科大学附属第一医院,广东省,Guangdong,广州市,Guangzhou,113.2141523,23.1363292,1200
R000326,普宁华侨医院,LE000746,普宁华侨医院,广东省,Guangdong,揭阳市,Jieyang,116.1581124,23.29878239,1100
