campus_id,campus_name,hospital_name,province,province_en,city,city_en,evidence_year,bed_value,status_event,source_urls
C1C000001,莱州市中医医院,莱州市中医医院,山东省,Shandong,烟台市,Yantai,2019,416,,https://wjw.yantai.gov.cn/art/2019/12/2/art_5675_2564094.html
C1C000001,莱州市中医医院,莱州市中医医院,山东省,Shandong,烟台市,Yantai,2024,606,,https://www.yantai.gov.cn/art/2024/7/5/art_83287_3202636.html
C45C0003,昆明同仁医院（广福路院区）,昆明同仁医院,云南省,Yunnan,昆明市,Kunming,2024,500,,https://www.sohu.com/a/823723639_120671058
C45C0004,昆明安琪儿妇产医院（西站院区）,昆明安琪儿妇产医院,云南省,Yunnan,昆明市,Kunming,2023,200,,https://www.hf960.com/n156953c93.aspx
C45C0005,昆明市第二人民医院（北院区）,昆明市第二人民医院,云南省,Yunnan,昆明市,Kunming,2024,1042,,https://m.zhaotong.huatu.com/2024/0507/1809523.html
C45C0006,玉溪市第二人民医院（星云路院区）,玉溪市第二人民医院,云南省,Yunnan,玉溪市,Yuxi,2022,772,,https://www.yuxi.gov.cn/yxszfxxgk/ysjsgk/20220228/1333477.html|https://www.yuxi.gov.cn/yxszfxxgk/ysjsgk/20231026/1483352.html
C45C0006,玉溪市第二人民医院（星云路院区）,玉溪市第二人民医院,云南省,Yunnan,玉溪市,Yuxi,2024,720,,https://m.huatu.com/ylws/yldw_zkxx/20241108/2787978.html
C45C0007,红河州第二人民医院（泽园院区）,红河哈尼族彝族自治州第二人民医院,云南省,Yunnan,红河哈尼族彝族自治州,Honghe Hani and Yi Autonomous Prefecture,2023,1400,,https://www.hh.gov.cn/info/11371/638292.htm
C45C0008,迪庆藏族自治州人民医院（池慈卡街院区）,迪庆藏族自治州人民医院,云南省,Yunnan,迪庆藏族自治州,Diqing Tibetan Autonomous Prefecture,2022,386,,https://www.xianggelila.gov.cn/zfxxgk_xglls_xzdz/fdzdgknr/xzzfxxgk/ygbmfwxx/202207/20220731_181032.html
C45C0008,迪庆藏族自治州人民医院（池慈卡街院区）,迪庆藏族自治州人民医院,云南省,Yunnan,迪庆藏族自治州,Diqing Tibetan Autonomous Prefecture,2024,386,,https://www.xianggelila.gov.cn/zfxxgk_xglls_xzdz/fdzdgknr/xzzfxxgk/ygbmfwxx/202401/20240126_197698.html
C45C0010,内蒙古自治区第四医院（本部）,内蒙古自治区第四医院,内蒙古自治区,Inner Mongolia,呼和浩特市,Huhehaote,2024,500,,https://www.ccgp-neimenggu.gov.cn/gpx-bid-file/150001/gpx-tender/2024/7/3/402881cc9062e79c01907773d1bc4023.pdf?accessCode=ba8724e770c9b92850b9ad5eabf23e0a
C45C0011,呼和浩特市第二医院（五里营院区）,呼和浩特市第二医院,内蒙古自治区,Inner Mongolia,呼和浩特市,Huhehaote,2019,400,,https://www.eoffcn.com/kszx/gonggao/957975.html
