legal_entity_id,hospital_legal_entity_name,aliases_or_campus_names,institution_category,province,province_en,city,city_en,tertiary_grade_a_analysis_start_year,primary_source_urls
C48LE0003,昆明同仁医院,,general_hospital,云南省,Yunnan,昆明市,Kunming,2023,https://www.kmtrh.org/front/hospital/231.shtml
C48LE0004,昆明安琪儿妇产医院,,specialized_hospital,云南省,Yunnan,昆明市,Kunming,2021,https://kunming.cn/news/c/2021-03-01/13169756.shtml
C48LE0005,昆明市第二人民医院,云南康复医院,specialized_hospital,云南省,Yunnan,昆明市,Kunming,2020,https://csp.ncmi.cn/WebManage/StrokeRecognition/CzdtUUDetailWeb?uid=24994
C48LE0006,玉溪市第二人民医院,,specialized_hospital,云南省,Yunnan,玉溪市,Yuxi,2017,https://www.ylrj.cn/hospital/400735.html
C48LE0007,红河哈尼族彝族自治州第二人民医院,红河州第二人民医院;红河州精神病医院（前身）,specialized_hospital,云南省,Yunnan,红河哈尼族彝族自治州,Honghe Hani and Yi Autonomous Prefecture,2017,https://www.hh.gov.cn/info/11371/1203492.htm
C48LE0008,迪庆藏族自治州人民医院,迪庆州人民医院,general_hospital,云南省,Yunnan,迪庆藏族自治州,Diqing Tibetan Autonomous Prefecture,2020,https://hzjl.sh.gov.cn/n1311/20221224/c81f7b2ce0544b3ca2598cda6439deff.html
C48LE0009,包头市第三医院,包头市传染病医院,specialized_hospital,内蒙古自治区,Inner Mongolia,包头市,Baotou,2022,https://s.dayi.org.cn/mip/s/hospital/1156077.html
C48LE0010,内蒙古自治区第四医院,内蒙古自治区胸科医院,specialized_hospital,内蒙古自治区,Inner Mongolia,呼和浩特市,Huhehaote,2014,https://economy.nmgnews.com.cn/system/2019/11/13/012804077.shtml
C48LE0011,呼和浩特市第二医院,呼和浩特市传染病医院,specialized_hospital,内蒙古自治区,Inner Mongolia,呼和浩特市,Huhehaote,2017,https://www.dayi.org.cn/hospital/1131567?from=sg
C48LE0012,通辽市传染病医院,通辽市第六人民医院,specialized_hospital,内蒙古自治区,Inner Mongolia,通辽市,Tongliao,2023,https://www.tongliao.gov.cn/zwgk/zfxxgk/fdzdgknr/zdlyxx/ggqsydwxxgk/wsjkly/202302/t20230224_137135.html
C48LE0013,鄂尔多斯市中医医院,,traditional_chinese_medicine_hospital,内蒙古自治区,Inner Mongolia,鄂尔多斯市,Eerduosi,2020,https://www.nmgyyxh.org.cn/nmgyyxh/zcfg/686cdcc3f266ba2c90c83f35.shtml
C48LE0015,北京市健宫医院,,traditional_chinese_and_western_medicine_hospital,北京市,Beijing,北京市,Beijing,2024,https://zyj.beijing.gov.cn/sy/tzgg/202412/t20241216_3966691.html
C48LE0016,北京朝阳中西医结合急诊抢救医院,,traditional_chinese_and_western_medicine_hospital,北京市,Beijing,北京市,Beijing,2023,https://zyj.beijing.gov.cn/sy/tzgg/202311/t20231114_3301174.html
C48LE0017,白山市中医院,长春中医药大学附属白山医院,traditional_chinese_medicine_hospital,吉林省,Jilin,白山市,Baishan,2023,https://jltcm.jl.gov.cn/zwgk/gsgg/202306/t20230620_2384643.html
C48LE0018,长春中医药大学附属第三临床医院,,traditional_chinese_medicine_hospital,吉林省,Jilin,长春市,Changchun,2023,https://jltcm.jl.gov.cn/zwgk/gsgg/202306/t20230620_2384643.html
C48LE0019,亳州市中医院,安徽中医药大学附属亳州中医院,traditional_chinese_medicine_hospital,安徽省,Anhui,亳州市,Bozhou,2019,https://www.sohu.com/a/352143502_120424507
C48LE0020,蒙城县中医院,亳州市第二中医院,traditional_chinese_medicine_hospital,安徽省,Anhui,亳州市,Bozhou,2023,https://www.mcxzyy.com/show.aspx?cid=100&tid=723
C48LE0021,安徽省胸科医院,,specialized_hospital,安徽省,Anhui,合肥市,Hefei,2022,https://ah.people.com.cn/n2/2022/0812/c358325-40078051.html
C48LE0022,安徽省皖南康复医院（芜湖市第五人民医院）,皖南医学院附属皖南康复医院,specialized_hospital,安徽省,Anhui,芜湖市,Wuhu,2023,https://wsjkw.wuhu.gov.cn/xwdt/bmyw/8402336.html
C48LE0023,蚌埠市第一人民医院,,general_hospital,安徽省,Anhui,蚌埠市,Bengbu,2022,https://www.xyl2002.com/zpxq/27261.html
C48LE0024,安徽医科大学附属阜阳医院,,general_hospital,安徽省,Anhui,阜阳市,Fuyang,2023,https://www.ahmu.edu.cn/2023/0407/c4325a135209/page.htm
C48LE0025,阜阳市中医医院,,traditional_chinese_medicine_hospital,安徽省,Anhui,阜阳市,Fuyang,2023,https://ah.people.com.cn/n2/2023/0621/c358428-40465096.html
C48LE0026,临沂市精神卫生中心（临沂市第四人民医院）,临沂市第四人民医院,specialized_hospital,山东省,Shandong,临沂市,Linyi,2015,https://wsjsw.linyi.gov.cn/info/1007/14140.htm
C48LE0027,临沂市肿瘤医院,,specialized_hospital,山东省,Shandong,临沂市,Linyi,2016,https://www.lyzlyy.net/news/512.html
C48LE0028,威海市立医院,,general_hospital,山东省,Shandong,威海市,Weihai,2014,https://wsjkw.weihai.gov.cn/art/2024/8/9/art_78865_4802626.html
C48LE0029,中国中医科学院西苑医院济宁医院（济宁市中医院）,济宁市中医院;中国中医科学院西苑医院济宁医院,traditional_chinese_medicine_hospital,山东省,Shandong,济宁市,Jining,2016,https://www.jnszyy.com/view.php?id=664
C48LE0030,曲阜市中医院,,traditional_chinese_medicine_hospital,山东省,Shandong,济宁市,Jining,2014,https://www.jining.gov.cn/art/2026/4/27/art_91311_2804736.html
C48LE0031,高密市中医院,,traditional_chinese_medicine_hospital,山东省,Shandong,潍坊市,Weifang,2024,https://wfgmszyy.cn/web/1002.html
C48LE0033,烟台市心理康复医院,烟台市精神卫生中心,specialized_hospital,山东省,Shandong,烟台市,Yantai,2016,https://www.ytsjsws.cn/news_detail/369.html
C48LE0035,东阿县人民医院,,general_hospital,山东省,Shandong,聊城市,Liaocheng,2024,https://www.netbig.top/thread-65109-76-1.html
C48LE0036,山东大学齐鲁第三医院,山东大学齐鲁医院（青岛）;山东大学齐鲁医院青岛院区,general_hospital,山东省,Shandong,青岛市,Qingdao,2024,https://www.netbig.top/thread-65109-76-1.html
C48LE0037,太原市第四人民医院,山西医科大学附属肺科医院;太原市结核病医院;山西省结核病防治中心,specialized_hospital,山西省,Shanxi,太原市,Taiyuan,2014,https://hospital.tyut.edu.cn/info/1013/1144.htm
C48LE0038,忻州市中医医院,忻州市中医院,traditional_chinese_medicine_hospital,山西省,Shanxi,忻州市,Xinzhou,2014,https://wjw.shanxi.gov.cn/zfxxgk/fdzdgknr/gggs/202203/t20220310_5279805.shtml
C48LE0039,晋中市中医院,山西中医药大学附属晋中医院,traditional_chinese_medicine_hospital,山西省,Shanxi,晋中市,Jinzhong,2018,https://www.sxtcm.edu.cn/ylfw.htm
