year,region,n_cities_in_CI,pop_in_CI,pop_total_region,pop_share_region,excluded_pop_due_to_gdp
2014,Eastern,87,508297043.0,513359310.0,0.37852155280293653,5062267.0
2015,Eastern,87,512715740.0,517821350.0,0.3785204883055076,5105610.0
2016,Eastern,88,514985180.0,520111970.0,0.3785172684799047,5126790.0
2017,Eastern,88,517097983.0,522257846.0,0.37846346542913767,5159863.0
2018,Eastern,88,519117299.0,524297324.0,0.37845847184562426,5180025.0
2019,Eastern,88,520952425.0,526150854.0,0.3784479221863942,5198429.0
2020,Eastern,88,521995291.0,527174624.0,0.37801883516876467,5179333.0
2021,Eastern,88,523448036.0,528641788.0,0.3780135803350644,5193752.0
2022,Eastern,88,528174452.0,533415085.0,0.3780009743716486,5240633.0
2023,Eastern,88,528965419.0,534201290.0,0.37787508708197715,5235871.0
2024,Eastern,88,530039700.0,535286355.0,0.37786936616571026,5246655.0
2014,NotEastern,210,768552725.0,842862829.0,0.6214784471970635,74310104.0
2015,NotEastern,210,775234971.0,850192710.0,0.6214795116944923,74957739.0
2016,NotEastern,210,778673522.0,853965287.0,0.6214827315200953,75291765.0
2017,NotEastern,210,782138511.0,857684721.0,0.6215365345708623,75546210.0
2018,NotEastern,210,785194099.0,861052359.0,0.6215415281543757,75858260.0
2019,NotEastern,210,787997198.0,864135162.0,0.6215520778136058,76137964.0
2020,NotEastern,210,790559617.0,867397749.0,0.6219811648312353,76838132.0
2021,NotEastern,210,792800663.0,869831218.0,0.6219864196649356,77030555.0
2022,NotEastern,210,800005111.0,877732296.0,0.6219990256283514,77727185.0
2023,NotEastern,210,801315485.0,879496803.0,0.6221249129180229,78181318.0
2024,NotEastern,210,802968796.0,881304676.0,0.6221306338342898,78335880.0
