year,region,n_cities_in_CI,pop_in_CI,pop_total_region,pop_share_region,excluded_pop_due_to_minority
2014,Eastern,85,497679246.0,513359310.0,0.37852155280293653,15680064.0
2015,Eastern,85,502006090.0,517821350.0,0.3785204883055076,15815260.0
2016,Eastern,85,504226755.0,520111970.0,0.3785172684799047,15885215.0
2017,Eastern,85,506192256.0,522257846.0,0.37846346542913767,16065590.0
2018,Eastern,85,508203162.0,524297324.0,0.37845847184562426,16094162.0
2019,Eastern,85,510000927.0,526150854.0,0.3784479221863942,16149927.0
2020,Eastern,85,510769824.0,527174624.0,0.37801883516876467,16404800.0
2021,Eastern,85,512191870.0,528641788.0,0.3780135803350644,16449918.0
2022,Eastern,85,516817356.0,533415085.0,0.3780009743716486,16597729.0
2023,Eastern,85,517579574.0,534201290.0,0.37787508708197715,16621716.0
2024,Eastern,85,518644457.0,535286355.0,0.37786936616571026,16641898.0
2014,NotEastern,252,832538804.0,842862829.0,0.6214784471970635,10324025.0
2015,NotEastern,252,839779425.0,850192710.0,0.6214795116944923,10413285.0
2016,NotEastern,252,843515292.0,853965287.0,0.6214827315200953,10449995.0
2017,NotEastern,252,846962527.0,857684721.0,0.6215365345708623,10722194.0
2018,NotEastern,252,850272303.0,861052359.0,0.6215415281543757,10780056.0
2019,NotEastern,252,853305756.0,864135162.0,0.6215520778136058,10829406.0
2020,NotEastern,252,856215538.0,867397749.0,0.6219811648312353,11182211.0
2021,NotEastern,252,858628923.0,869831218.0,0.6219864196649356,11202295.0
2022,NotEastern,252,866427795.0,877732296.0,0.6219990256283514,11304501.0
2023,NotEastern,252,867874605.0,879496803.0,0.6221249129180229,11622198.0
2024,NotEastern,252,869669214.0,881304676.0,0.6221306338342898,11635462.0
