year,CI,pop_in_CI,pop_total,pop_coverage
2014,0.23640923763259583,1276849768.0,1356222139.0,0.9414753905591567
2015,0.24180241355830204,1287950711.0,1368014060.0,0.941474761597114
2016,0.23639687196783407,1293658702.0,1374077257.0,0.9414745025504778
2017,0.23186568779404113,1299236494.0,1379942567.0,0.9415149043663061
2018,0.22810087677240753,1304311398.0,1385349683.0,0.9415033720406893
2019,0.21188726089377535,1308949623.0,1390286016.0,0.9414966474063996
2020,0.19709186933432588,1312554908.0,1394572373.0,0.9411880899206656
2021,0.18847112380351505,1316248699.0,1398473006.0,0.9412042230009264
2022,0.1890039458477229,1328179563.0,1411147381.0,0.9412054197052009
2023,0.18702746346967344,1330280904.0,1413698093.0,0.9409936326482687
2024,0.18566881626719026,1333008496.0,1416591031.0,0.940997413388254
