year,city_level,CI
2014,Large City,0.10781491644124609
2015,Large City,0.11298003671835463
2016,Large City,0.11132659617490563
2017,Large City,0.11801780585032291
2018,Large City,0.11676696932700058
2019,Large City,0.11877974469446116
2020,Large City,0.08930424001704576
2021,Large City,0.083125502050888
2022,Large City,0.09214039458617944
2023,Large City,0.0892281319583415
2024,Large City,0.08738668190462717
2014,Medium/Small City,0.14711018741885434
2015,Medium/Small City,0.1420992091052582
2016,Medium/Small City,0.13506942289456916
2017,Medium/Small City,0.14494956253433655
2018,Medium/Small City,0.12787395730616932
2019,Medium/Small City,0.1070474363134517
2020,Medium/Small City,0.11481626782808241
2021,Medium/Small City,0.11306906303913565
2022,Medium/Small City,0.11647639260561594
2023,Medium/Small City,0.11658040662735546
2024,Medium/Small City,0.11539829513116587
2014,Mega City,0.11311043963569738
2015,Mega City,0.10873655655291203
2016,Mega City,0.09401627008318343
2017,Mega City,0.10834734100819313
2018,Mega City,0.08537859646164951
2019,Mega City,0.033653751111156115
2020,Mega City,0.029744775962814742
2021,Mega City,0.01725840264169668
2022,Mega City,0.02085006028163001
2023,Mega City,0.0028706712929285065
2024,Mega City,0.0008554068800700967
2014,Mega/Super City,0.059512924485941664
2015,Mega/Super City,0.055297753070292055
2016,Mega/Super City,0.030410651183083295
2017,Mega/Super City,0.03030676046650635
2018,Mega/Super City,0.02433813042836561
2019,Mega/Super City,-0.0060302969543118545
2020,Mega/Super City,-0.02220254087391114
2021,Mega/Super City,-0.039847829865876934
2022,Mega/Super City,-0.042011198300346844
2023,Mega/Super City,-0.04874032774357967
2024,Mega/Super City,-0.035975005434633056
2014,Super City,0.007713418043636324
2015,Super City,0.004115306324430429
2016,Super City,-0.011612455410658877
2017,Super City,-0.008686840020231795
2018,Super City,-0.021540632583657467
2019,Super City,-0.012202560007752149
2020,Super City,-0.018823782408897004
2021,Super City,-0.030939240248947397
2022,Super City,-0.024034307387583963
2023,Super City,-0.021706171127461378
2024,Super City,-0.013100319429239771
