year,region,CI
2014,Eastern,0.21211335233801823
2015,Eastern,0.2181742158766061
2016,Eastern,0.20729624626397727
2017,Eastern,0.20226710776826176
2018,Eastern,0.19519065208985614
2019,Eastern,0.18166813124735923
2020,Eastern,0.17380093452165638
2021,Eastern,0.17289456372468784
2022,Eastern,0.17725974190615382
2023,Eastern,0.17206343713912445
2024,Eastern,0.16920883712400164
2014,NotEastern,0.285470711458532
2015,NotEastern,0.29087117240176374
2016,NotEastern,0.29109888889863333
2017,NotEastern,0.2831616699141674
2018,NotEastern,0.2850138875766996
2019,NotEastern,0.2606153617969797
2020,NotEastern,0.2457572481131724
2021,NotEastern,0.23482939598040006
2022,NotEastern,0.2273341378855525
2023,NotEastern,0.23220600219957668
2024,NotEastern,0.23208529419058507
