year,CI,pop_in_CI,pop_total,pop_coverage
2014,0.10928846440692558,1330218050.0,1356222139.0,0.9808260842732047
2015,0.11826029940678272,1341785515.0,1368014060.0,0.9808272840412181
2016,0.12067614017694601,1347742047.0,1374077257.0,0.9808342581424445
2017,0.1161032620768357,1353154783.0,1379942567.0,0.9805877544177533
2018,0.11067987313713662,1358475465.0,1385349683.0,0.9806011302923869
2019,0.10982922729689688,1363306683.0,1390286016.0,0.9805944009437552
2020,0.10759120695298548,1366985362.0,1394572373.0,0.9802183009400546
2021,0.10387867036824998,1370820793.0,1398473006.0,0.980226852516022
2022,0.10053399388301854,1383245151.0,1411147381.0,0.9802272743615006
2023,0.10234868355475385,1385454179.0,1413698093.0,0.9800212547927657
2024,0.09573690948916821,1388313671.0,1416591031.0,0.9800384448431538
