year,city_level,CI
2014,Large City,0.18883321810259748
2015,Large City,0.18677829557535178
2016,Large City,0.18222082458359148
2017,Large City,0.17190150710039187
2018,Large City,0.16203274731361336
2019,Large City,0.16011161851588218
2020,Large City,0.15423362513925545
2021,Large City,0.1526957770266448
2022,Large City,0.15304973762815208
2023,Large City,0.16454012516741032
2024,Large City,0.1560921954076663
2014,Medium/Small City,0.005967072432214359
2015,Medium/Small City,0.03423591797152775
2016,Medium/Small City,0.047363776016657026
2017,Medium/Small City,0.046763613812329574
2018,Medium/Small City,0.04580159902795046
2019,Medium/Small City,0.04832197908472385
2020,Medium/Small City,0.05425811972700322
2021,Medium/Small City,0.04988601256492375
2022,Medium/Small City,0.04348518351140851
2023,Medium/Small City,0.042529259254515825
2024,Medium/Small City,0.036287363723103636
2014,Mega City,0.0773277956596191
2015,Mega City,0.08194996258431425
2016,Mega City,0.07955007091844003
2017,Mega City,0.08992368495852499
2018,Mega City,0.08041636381609843
2019,Mega City,0.07538125600663975
2020,Mega City,0.06751534159910873
2021,Mega City,0.06133531044637896
2022,Mega City,0.06792149102631193
2023,Mega City,0.05806953145088113
2024,Mega City,0.06363378342324859
2014,Mega/Super City,0.08029448229443464
2015,Mega/Super City,0.07909719738643357
2016,Mega/Super City,0.07634558943734322
2017,Mega/Super City,0.07871803702495739
2018,Mega/Super City,0.06743377269003627
2019,Mega/Super City,0.06770338167257092
2020,Mega/Super City,0.05892040120403558
2021,Mega/Super City,0.04951522472565227
2022,Mega/Super City,0.04501735055745883
2023,Mega/Super City,0.037460576753923676
2024,Mega/Super City,0.03679413356616146
2014,Super City,0.08466327652812976
2015,Super City,0.0805909001265755
2016,Super City,0.07797575463770753
2017,Super City,0.07599015646539756
2018,Super City,0.06397661647297133
2019,Super City,0.06741145145758165
2020,Super City,0.05836486000962982
2021,Super City,0.04684916581574852
2022,Super City,0.03570072223172045
2023,Super City,0.03005736156853538
2024,Super City,0.025710974010089566
