year,region,CI
2014,Eastern,0.18746927824390747
2015,Eastern,0.18429422684270488
2016,Eastern,0.1754136890570785
2017,Eastern,0.16609459460634404
2018,Eastern,0.15734319174185651
2019,Eastern,0.15127841342388684
2020,Eastern,0.1405348632203107
2021,Eastern,0.14501638657933014
2022,Eastern,0.14341272625022652
2023,Eastern,0.14407463592670566
2024,Eastern,0.13588536331281223
2014,NotEastern,0.06705323738405301
2015,NotEastern,0.0826063386321196
2016,NotEastern,0.08982232040737605
2017,NotEastern,0.0885792425894974
2018,NotEastern,0.08464626274211079
2019,NotEastern,0.08591483308147556
2020,NotEastern,0.08792119199650222
2021,NotEastern,0.08086569149036581
2022,NotEastern,0.07745831242926764
2023,NotEastern,0.07968391235668533
2024,NotEastern,0.07383002349391718
