year,city_level,n_cities_in_CI,pop_in_CI,pop_total_group,pop_share_group,excluded_pop_due_to_gdp
2014,Large City,80,438120644.0,438120644.0,0.3235626139360683,0.0
2015,Large City,80,441930794.0,441930794.0,0.3235636124194276,0.0
2016,Large City,80,443886569.0,443886569.0,0.3235616979287227,0.0
2017,Large City,80,445590781.0,445590781.0,0.3234371184748074,0.0
2018,Large City,80,447337794.0,447337794.0,0.3234415847250646,0.0
2019,Large City,80,448925108.0,448925108.0,0.32343917040476905,0.0
2020,Large City,80,450023843.0,450023843.0,0.3233307293033415,0.0
2021,Large City,80,451281155.0,451281155.0,0.3233267881893394,0.0
2022,Large City,80,455357258.0,455357258.0,0.32331712123273765,0.0
2023,Large City,80,456101968.0,456101968.0,0.32333907528640554,0.0
2024,Large City,80,457037612.0,457037612.0,0.3233398331294707,0.0
2014,Medium/Small City,195,597966781.0,675169135.0,0.4986286155681679,77202354.0
2015,Medium/Small City,195,603164277.0,681037092.0,0.4986274427374302,77872815.0
2016,Medium/Small City,196,605841519.0,684058944.0,0.49863025570383734,78217425.0
2017,Medium/Small City,196,608490129.0,686927240.0,0.4986139224174219,78437111.0
2018,Medium/Small City,196,610863274.0,689607782.0,0.49861164614411474,78744508.0
2019,Medium/Small City,196,613041788.0,692066007.0,0.4986160301139162,79024219.0
2020,Medium/Small City,196,614808578.0,694091198.0,0.49868694013256987,79282620.0
2021,Medium/Small City,196,616568211.0,696062678.0,0.4987039843403396,79494467.0
2022,Medium/Small City,196,622177798.0,702390269.0,0.49871786551158526,80212471.0
2023,Medium/Small City,196,623130157.0,703448846.0,0.4986878271416033,80318689.0
2024,Medium/Small City,196,624414921.0,704896398.0,0.4986921813841548,80481477.0
2014,Mega City,8,124408478.0,124408478.0,0.09187864778516996,0.0
2015,Mega City,8,125490708.0,125490708.0,0.09187915247551534,0.0
2016,Mega City,8,126046410.0,126046410.0,0.09187885663965636,0.0
2017,Mega City,8,126533593.0,126533593.0,0.09184584254265364,0.0
2018,Mega City,8,127027179.0,127027179.0,0.09184529594857896,0.0
2019,Mega City,8,127477651.0,127477651.0,0.09184441892385461,0.0
2020,Mega City,8,127810588.0,127810588.0,0.09182866924392917,0.0
2021,Mega City,8,128153469.0,128153469.0,0.09181737164959188,0.0
2022,Mega City,8,129311889.0,129311889.0,0.09181526583385943,0.0
2023,Mega City,8,129539889.0,129539889.0,0.09183321024820401,0.0
2024,Mega City,8,129799513.0,129799513.0,0.09182910065114414,0.0
2014,Mega/Super City,22,240762343.0,240762343.0,0.17780877049576382,0.0
2015,Mega/Super City,22,242855640.0,242855640.0,0.1778089448431422,0.0
2016,Mega/Super City,22,243930614.0,243930614.0,0.17780804636744,0.0
2017,Mega/Super City,22,245155584.0,245155584.0,0.17794895910777067,0.0
2018,Mega/Super City,22,246110330.0,246110330.0,0.17794676913082066,0.0
2019,Mega/Super City,22,246982727.0,246982727.0,0.17794479948131472,0.0
2020,Mega/Super City,22,247722487.0,247722487.0,0.17798233056408866,0.0
2021,Mega/Super City,22,248399333.0,248399333.0,0.17796922747032098,0.0
2022,Mega/Super City,22,250644507.0,250644507.0,0.17796501325567707,0.0
2023,Mega/Super City,22,251048779.0,251048779.0,0.17797309757199115,0.0
2024,Mega/Super City,22,251555963.0,251555963.0,0.17796798548637457,0.0
2014,Super City,14,116353865.0,116353865.0,0.08593012271059386,0.0
2015,Super City,14,117364932.0,117364932.0,0.08592979236762685,0.0
2016,Super City,14,117884204.0,117884204.0,0.08592918972778364,0.0
2017,Super City,14,118621991.0,118621991.0,0.08610311656511703,0.0
2018,Super City,14,119083151.0,119083151.0,0.0861014731822417,0.0
2019,Super City,14,119505076.0,119505076.0,0.0861003805574601,0.0
2020,Super City,14,119911899.0,119911899.0,0.08615366132015949,0.0
2021,Super City,14,120245864.0,120245864.0,0.08615185582072912,0.0
2022,Super City,14,121332618.0,121332618.0,0.08614974742181764,0.0
2023,Super City,14,121508890.0,121508890.0,0.08613988732378713,0.0
2024,Super City,14,121756450.0,121756450.0,0.08613888483523045,0.0
