year,city_level,n_cities_in_CI,pop_in_CI,pop_total_group,pop_share_group,excluded_pop_due_to_minority
2014,Large City,79,431710366.0,438120644.0,0.3235626139360683,6410278.0
2015,Large City,79,435465386.0,441930794.0,0.3235636124194276,6465408.0
2016,Large City,79,437392505.0,443886569.0,0.3235616979287227,6494064.0
2017,Large City,79,439086386.0,445590781.0,0.3234371184748074,6504395.0
2018,Large City,79,440793604.0,447337794.0,0.3234415847250646,6544190.0
2019,Large City,79,442357343.0,448925108.0,0.32343917040476905,6567765.0
2020,Large City,79,443464941.0,450023843.0,0.3233307293033415,6558902.0
2021,Large City,79,444704558.0,451281155.0,0.3233267881893394,6576597.0
2022,Large City,79,448722307.0,455357258.0,0.32331712123273765,6634951.0
2023,Large City,79,449463278.0,456101968.0,0.32333907528640554,6638690.0
2024,Large City,79,450389768.0,457037612.0,0.3233398331294707,6647844.0
2014,Medium/Small City,237,666866451.0,675169135.0,0.4986286155681679,8302684.0
2015,Medium/Small City,237,672664868.0,681037092.0,0.4986274427374302,8372224.0
2016,Medium/Small City,237,675659901.0,684058944.0,0.49863025570383734,8399043.0
2017,Medium/Small City,237,678384369.0,686927240.0,0.4986139224174219,8542871.0
2018,Medium/Small City,237,681031561.0,689607782.0,0.49861164614411474,8576221.0
2019,Medium/Small City,237,683459062.0,692066007.0,0.4986160301139162,8606945.0
2020,Medium/Small City,237,685533775.0,694091198.0,0.49868694013256987,8557423.0
2021,Medium/Small City,237,687479860.0,696062678.0,0.4987039843403396,8582818.0
2022,Medium/Small City,237,693729742.0,702390269.0,0.49871786551158526,8660527.0
2023,Medium/Small City,237,694810094.0,703448846.0,0.4986878271416033,8638752.0
2024,Medium/Small City,237,696244602.0,704896398.0,0.4986921813841548,8651796.0
2014,Mega City,8,124408478.0,124408478.0,0.09187864778516996,0.0
2015,Mega City,8,125490708.0,125490708.0,0.09187915247551534,0.0
2016,Mega City,8,126046410.0,126046410.0,0.09187885663965636,0.0
2017,Mega City,8,126533593.0,126533593.0,0.09184584254265364,0.0
2018,Mega City,8,127027179.0,127027179.0,0.09184529594857896,0.0
2019,Mega City,8,127477651.0,127477651.0,0.09184441892385461,0.0
2020,Mega City,8,127810588.0,127810588.0,0.09182866924392917,0.0
2021,Mega City,8,128153469.0,128153469.0,0.09181737164959188,0.0
2022,Mega City,8,129311889.0,129311889.0,0.09181526583385943,0.0
2023,Mega City,8,129539889.0,129539889.0,0.09183321024820401,0.0
2024,Mega City,8,129799513.0,129799513.0,0.09182910065114414,0.0
2014,Mega/Super City,21,231641233.0,240762343.0,0.17780877049576382,9121110.0
2015,Mega/Super City,21,233655261.0,242855640.0,0.1778089448431422,9200379.0
2016,Mega/Super City,21,234689641.0,243930614.0,0.17780804636744,9240973.0
2017,Mega/Super City,21,235684028.0,245155584.0,0.17794895910777067,9471556.0
2018,Mega/Super City,21,236650300.0,246110330.0,0.17794676913082066,9460030.0
2019,Mega/Super City,21,237490278.0,246982727.0,0.17794479948131472,9492449.0
2020,Mega/Super City,21,237986646.0,247722487.0,0.17798233056408866,9735841.0
2021,Mega/Super City,21,238636375.0,248399333.0,0.17796922747032098,9762958.0
2022,Mega/Super City,21,240793102.0,250644507.0,0.17796501325567707,9851405.0
2023,Mega/Super City,21,241180807.0,251048779.0,0.17797309757199115,9867972.0
2024,Mega/Super City,21,241679301.0,251555963.0,0.17796798548637457,9876662.0
2014,Super City,13,107232755.0,116353865.0,0.08593012271059386,9121110.0
2015,Super City,13,108164553.0,117364932.0,0.08592979236762685,9200379.0
2016,Super City,13,108643231.0,117884204.0,0.08592918972778364,9240973.0
2017,Super City,13,109150435.0,118621991.0,0.08610311656511703,9471556.0
2018,Super City,13,109623121.0,119083151.0,0.0861014731822417,9460030.0
2019,Super City,13,110012627.0,119505076.0,0.0861003805574601,9492449.0
2020,Super City,13,110176058.0,119911899.0,0.08615366132015949,9735841.0
2021,Super City,13,110482906.0,120245864.0,0.08615185582072912,9762958.0
2022,Super City,13,111481213.0,121332618.0,0.08614974742181764,9851405.0
2023,Super City,13,111640918.0,121508890.0,0.08613988732378713,9867972.0
2024,Super City,13,111879788.0,121756450.0,0.08613888483523045,9876662.0
